,PROPERTY_VALUE_AMT,TARGET,CRDT_LINE_CNT,DEROG_CNT,DEBT_INC_RTIO_AMT,LOAN_AMT,REASON_CDE,YOJ_AMT,MORTGAGE_DUE_AMT,RCNT_CRDT_CNT,OLD_AGE_TRADE_AMT,JOB_CDE,DELINGQ_CNT
0,91704.0,0,20.0,0.0,30.206893343,20000,DebtCon,10.0,28440.0,0.0,143.63743879,ProfExe,0.0
1,88342.0,0,11.0,0.0,43.717635111999996,4800,HomeImp,7.0,80482.0,0.0,275.03239483,ProfExe,0.0
2,242602.0,0,26.0,0.0,41.277127172,25700,DebtCon,8.0,197425.0,2.0,102.96034553,Other,0.0
3,68500.0,0,42.0,0.0,,18000,DebtCon,10.0,45000.0,1.0,190.8,ProfExe,0.0
4,55500.0,0,11.0,0.0,,8600,DebtCon,6.0,41126.0,1.0,73.033333333,Other,0.0
5,64386.0,0,17.0,0.0,36.787305949,17200,DebtCon,27.0,51352.0,1.0,295.9554144,Mgr,0.0
6,73380.0,0,18.0,0.0,24.374481111999998,40300,DebtCon,4.0,33299.0,1.0,184.53758909,ProfExe,0.0
7,137552.0,0,13.0,0.0,31.344365521999997,17300,DebtCon,6.0,110614.0,0.0,85.23250072399999,ProfExe,0.0
8,85782.0,0,25.0,2.0,33.20696963,16000,DebtCon,1.0,66395.0,1.0,99.519217551,Other,1.0
9,46571.0,0,19.0,5.0,29.371299871999998,43500,DebtCon,,,,108.58663256,Other,
10,95132.0,0,17.0,0.0,25.244046294,18300,DebtCon,0.0,73510.0,0.0,86.684295749,Mgr,0.0
11,114400.0,0,,,,13000,,,77355.0,,,,
12,198338.0,0,26.0,0.0,38.069751444,62500,DebtCon,10.0,124491.0,1.0,324.32073181,ProfExe,0.0
13,80747.0,0,21.0,0.0,25.264447543000003,52700,HomeImp,10.0,,0.0,174.12561564,Self,0.0
14,114457.0,0,11.0,0.0,35.601894251,7100,HomeImp,23.0,98490.0,0.0,116.10008714,Office,0.0
15,163390.0,0,20.0,1.0,,23000,DebtCon,7.0,131200.0,1.0,215.06666667,Other,0.0
16,109980.0,0,20.0,0.0,22.496235519000003,18700,DebtCon,7.0,93210.0,2.0,145.48592651,ProfExe,0.0
17,91425.0,0,26.0,0.0,,7400,DebtCon,3.5,72739.0,0.0,128.83333333,ProfExe,0.0
18,13930.0,0,16.0,,42.50002486,19500,DebtCon,4.0,58638.0,0.0,69.005027135,Other,
19,61000.0,1,17.0,1.0,,3600,DebtCon,13.0,48507.0,0.0,97.4,Office,4.0
20,103430.0,0,16.0,0.0,31.515593406999997,20400,HomeImp,8.0,76305.0,0.0,68.441583027,ProfExe,0.0
21,97348.0,0,11.0,,36.107923551999995,16500,HomeImp,8.0,64992.0,0.0,123.66882077,Office,
22,90551.0,0,41.0,0.0,37.15549756,20300,DebtCon,22.0,21281.0,2.0,219.08822376,Other,0.0
23,123455.0,0,26.0,0.0,36.544273113,15600,DebtCon,13.0,92789.0,0.0,176.73493223,Other,0.0
24,38575.0,1,42.0,0.0,,5000,HomeImp,7.0,6000.0,3.0,335.03333333,Self,1.0
25,67021.0,0,18.0,0.0,16.145688872,43900,HomeImp,,5149.0,0.0,317.40930494,Office,0.0
26,63348.0,0,31.0,0.0,22.544392836999997,4900,DebtCon,9.0,58688.0,2.0,179.16257471,ProfExe,3.0
27,94453.0,0,41.0,0.0,35.744770886,17500,DebtCon,19.0,17889.0,2.0,244.35622740000002,Other,0.0
28,94660.0,0,24.0,0.0,35.800492028,12500,DebtCon,19.0,79900.0,10.0,252.34969818,Mgr,0.0
29,78954.0,0,,,37.760482419,20700,,,48134.0,,,,
30,80027.0,0,5.0,2.0,36.432093937,4300,HomeImp,2.0,72021.0,0.0,263.97030029,Other,0.0
31,172500.0,0,24.0,0.0,,18000,DebtCon,6.0,105000.0,4.0,219.16666667,Office,0.0
32,64582.0,0,14.0,0.0,26.987437342,12900,DebtCon,4.0,55673.0,0.0,163.41663166,Other,0.0
33,70528.0,0,21.0,0.0,33.495088701,27400,DebtCon,18.0,41370.0,1.0,180.20434499,Office,0.0
34,95886.0,0,41.0,0.0,36.05994724,17000,DebtCon,8.0,83248.0,,349.43007938,ProfExe,2.0
35,89515.0,0,4.0,3.0,29.638901419,8000,DebtCon,0.0,80817.0,0.0,,Other,0.0
36,90816.0,0,15.0,,38.742481605,22600,DebtCon,3.0,63363.0,,174.32656084,Office,
37,166682.0,0,14.0,0.0,34.883410942,37800,DebtCon,,111412.0,3.0,251.95678289999998,Other,0.0
38,66922.0,1,32.0,0.0,,11000,DebtCon,11.0,49000.0,3.0,91.0,Other,2.0
39,291222.0,1,25.0,0.0,43.789499295,43200,DebtCon,30.0,217036.0,1.0,228.14645828,ProfExe,0.0
40,103563.0,0,24.0,0.0,36.91389765,34000,DebtCon,3.0,57025.0,2.0,173.49413187,Office,0.0
41,86427.0,0,29.0,0.0,39.362693216,28000,DebtCon,9.0,58002.0,2.0,129.57535197,Other,1.0
42,65400.0,0,4.0,0.0,,5000,HomeImp,1.5,,0.0,51.766666666999996,Office,0.0
43,212953.0,0,26.0,0.0,21.241194773,27300,DebtCon,9.0,127260.0,3.0,244.1654213,ProfExe,0.0
44,50830.0,1,9.0,0.0,,5000,HomeImp,6.0,34200.0,1.0,57.0,Other,0.0
45,110676.0,0,30.0,0.0,38.627830219,20100,DebtCon,18.0,84965.0,5.0,244.02972997,Mgr,0.0
46,186976.0,0,24.0,0.0,42.660677489,21500,DebtCon,18.0,135899.0,1.0,227.34748644,ProfExe,0.0
47,47350.0,1,,,,5000,HomeImp,12.0,31000.0,,,ProfExe,
48,60098.0,0,9.0,1.0,27.375269408,15200,DebtCon,4.0,44414.0,2.0,105.74964198,,0.0
