iter	Logloss
0	0.6777574051
1	0.6621281903
2	0.652586712
3	0.6361278564
4	0.6214062078
5	0.6084711386
6	0.5999125298
7	0.5867652984
8	0.5797630035
9	0.5680516513
10	0.561574817
11	0.5536483671
12	0.5443765217
13	0.5342963178
14	0.5258041378
15	0.517060804
16	0.5085843544
17	0.5000730631
18	0.4952696158
19	0.4901915938
20	0.4834083856
21	0.4791602248
22	0.4736092441
23	0.4669952885
24	0.4605520434
25	0.4539577626
26	0.4475059561
27	0.4436969191
28	0.4395110639
29	0.4340015266
30	0.4306905081
31	0.4253654897
32	0.4219010234
33	0.4168192735
34	0.4122606563
35	0.4091086452
36	0.4051398416
37	0.4011678682
38	0.3969072833
39	0.3939933068
40	0.3918196776
41	0.3877318735
42	0.3858086429
43	0.3830599682
44	0.3798830926
45	0.3780471135
46	0.376428559
47	0.3731607397
48	0.3703369623
49	0.3671195599
50	0.3650464738
51	0.3628765655
52	0.3605976205
53	0.3580107206
54	0.3566508007
55	0.3542851647
56	0.3526252777
57	0.3505485624
58	0.3484263046
59	0.3473435589
60	0.3457992006
61	0.3436542357
62	0.3422926959
63	0.3402495618
64	0.3385832188
65	0.3373504316
66	0.3361147959
67	0.3357018664
68	0.3350725726
69	0.3340233026
70	0.3323578872
71	0.3307864334
72	0.3294371262
73	0.3282648406
74	0.326827394
75	0.3256898439
76	0.3251245852
77	0.324386057
78	0.3236224899
79	0.3230595926
80	0.32232899
81	0.3214822181
82	0.3204949369
83	0.3190240631
84	0.3182908918
85	0.3175738749
86	0.3169895905
87	0.3162547036
88	0.3154128199
89	0.314307111
90	0.3130212805
91	0.3122923431
92	0.3114847581
93	0.3103452277
94	0.309121598
95	0.3083988832
96	0.3075719625
97	0.3069455715
98	0.3061746865
99	0.3051764263
100	0.304490259
101	0.3037016547
102	0.3028864359
103	0.3021431201
104	0.3014651963
105	0.3010202192
106	0.3004107761
107	0.2999666366
108	0.299319434
109	0.2984903931
110	0.2977332435
111	0.2973099607
112	0.2968993125
113	0.2959494404
114	0.2952796687
115	0.2946149678
116	0.2941093319
117	0.2936157575
118	0.2931248759
119	0.2927021816
120	0.29181245
121	0.2915171648
122	0.290995795
123	0.2906237
124	0.2897554966
125	0.2894092687
126	0.288725125
127	0.2884141893
128	0.2879233952
129	0.2873815241
130	0.2869915596
131	0.2866844754
132	0.286063514
133	0.2854709841
134	0.2847328815
135	0.2842992996
136	0.2838951581
137	0.2833933162
138	0.2829137587
139	0.2824068765
140	0.2820359226
141	0.2815917032
142	0.2812789342
143	0.2809558298
144	0.2805398593
145	0.280098015
146	0.279443429
147	0.2791345089
148	0.2786329054
149	0.2781628142
150	0.2778625081
151	0.2774340499
152	0.2770837254
153	0.2766554419
154	0.2762021083
155	0.2758227931
156	0.2752971455
157	0.2750069797
158	0.2744584381
159	0.2738973073
160	0.2735373828
161	0.2733234508
162	0.2729227134
163	0.2725158664
164	0.2722241252
165	0.2718148445
166	0.2713982791
167	0.2710283663
168	0.2706031203
169	0.2700953477
170	0.2698422411
171	0.269381344
172	0.2691397653
173	0.2685501353
174	0.2679800686
175	0.2677423998
176	0.2674126776
177	0.2670608956
178	0.2668441474
179	0.2666507492
180	0.2662730811
181	0.2659494933
182	0.2653233053
183	0.2650834078
184	0.2648108441
185	0.2644989869
186	0.2642438719
187	0.2639524303
188	0.263594791
189	0.2632563316
190	0.26297885
191	0.2626512584
192	0.2623786483
193	0.2620590838
194	0.2617137233
195	0.2612395566
196	0.2609537982
197	0.2605609321
198	0.2602828018
199	0.2598646128
200	0.2594787746
201	0.2589562423
202	0.2586742344
203	0.2583550255
204	0.2580968478
205	0.2578252884
206	0.2573391273
207	0.2571485728
208	0.2567465921
209	0.2565127055
210	0.2564009532
211	0.2559413562
212	0.2556762223
213	0.2554841229
214	0.2552461405
215	0.2549004708
216	0.2545845487
217	0.2542887181
218	0.254041518
219	0.2538862969
220	0.2534686964
221	0.2532234663
222	0.2528267202
223	0.2525759931
224	0.2520996479
225	0.2517923561
226	0.2516023398
227	0.251339052
228	0.2509980969
229	0.2507761011
