iter	Passed	Remaining
0	142	142602
1	144	72176
2	146	48686
3	148	37008
4	150	29951
5	152	25237
6	154	21892
7	156	19365
8	158	17401
9	159	15826
10	161	14540
11	163	13492
12	165	12591
13	167	11821
14	170	11164
15	172	10600
16	174	10117
17	180	9838
18	182	9425
19	184	9050
20	186	8709
21	188	8397
22	190	8103
23	192	7833
24	194	7585
25	196	7370
26	198	7163
27	201	6989
28	203	6803
29	205	6631
30	207	6477
31	209	6337
32	212	6216
33	214	6094
34	216	5965
35	218	5843
36	220	5727
37	223	5653
38	225	5554
39	227	5454
40	229	5378
41	235	5369
42	239	5331
43	241	5246
44	243	5166
45	246	5116
46	248	5046
47	250	4975
48	252	4908
49	256	4864
50	257	4799
51	260	4740
52	262	4696
53	265	4648
54	268	4607
55	270	4561
56	272	4508
57	274	4460
58	276	4414
59	279	4381
60	281	4337
61	284	4300
62	286	4259
63	288	4216
64	290	4174
65	292	4137
66	295	4114
67	297	4071
68	300	4048
69	302	4024
70	306	4016
71	308	3982
72	311	3958
73	314	3938
74	319	3939
75	323	3933
76	327	3923
77	329	3895
78	332	3872
79	334	3841
80	336	3821
81	338	3791
82	340	3765
83	343	3744
84	345	3722
85	347	3695
86	349	3668
87	351	3645
88	353	3619
89	355	3594
90	357	3570
91	360	3558
92	363	3542
93	365	3519
94	367	3499
95	369	3476
96	371	3457
97	373	3437
98	376	3426
99	380	3427
100	382	3406
101	386	3399
102	389	3394
103	392	3378
104	395	3368
105	397	3352
106	399	3335
107	401	3316
108	403	3298
109	405	3284
110	409	3276
111	413	3279
112	415	3262
113	418	3248
114	422	3249
115	424	3234
116	428	3236
117	431	3223
118	433	3208
119	436	3201
120	438	3186
121	441	3178
122	443	3163
123	446	3153
124	448	3139
125	450	3124
126	452	3109
127	454	3099
128	459	3099
129	461	3090
130	466	3091
131	468	3077
132	473	3085
133	476	3077
134	478	3063
135	480	3049
136	482	3036
137	483	3022
138	486	3010
139	489	3005
140	491	2994
141	493	2982
142	496	2976
143	498	2963
144	502	2961
145	507	2968
146	512	2975
147	514	2963
148	519	2968
149	522	2963
150	525	2953
151	527	2941
152	530	2936
153	532	2927
154	534	2916
155	536	2904
156	540	2902
157	542	2892
158	544	2881
159	547	2876
160	552	2878
161	555	2873
162	557	2864
163	559	2853
164	564	2854
165	566	2843
166	568	2833
167	570	2823
168	572	2816
169	574	2806
170	576	2795
171	580	2795
172	582	2785
173	585	2777
174	588	2775
175	590	2765
176	592	2755
177	595	2751
178	601	2759
179	606	2764
180	614	2780
181	617	2776
182	620	2771
183	624	2767
184	626	2757
185	629	2753
186	631	2743
187	635	2744
188	637	2735
189	640	2730
190	642	2721
191	644	2712
192	646	2703
193	648	2694
194	650	2686
195	654	2685
196	657	2678
197	659	2669
198	661	2660
199	662	2651
200	664	2642
201	666	2633
202	669	2628
203	671	2620
204	674	2616
205	678	2614
206	680	2606
207	682	2598
208	684	2591
209	686	2584
210	688	2575
211	693	2577
212	695	2571
213	699	2570
214	703	2567
215	705	2560
216	708	2556
217	711	2551
218	714	2548
219	717	2542
220	724	2553
221	727	2548
222	731	2548
223	735	2547
224	739	2547
225	742	2543
226	745	2538
227	752	2549
228	757	2549
229	760	2544
230	764	2544
231	768	2543
232	771	2540
233	774	2536
234	780	2542
235	785	2542
236	791	2547
237	794	2545
238	800	2548
239	802	2541
240	805	2536
241	808	2531
242	810	2525
243	812	2518
244	815	2512
245	818	2508
246	820	2502
247	824	2498
248	826	2492
249	829	2489
250	834	2488
251	836	2483
252	839	2478
253	841	2472
254	845	2468
255	849	2467
256	851	2460
257	854	2456
258	856	2449
259	858	2442
260	860	2435
261	862	2428
262	864	2423
263	868	2420
264	870	2413
265	872	2407
266	875	2404
267	879	2403
268	882	2399
269	884	2392
270	886	2385
271	889	2379
272	891	2373
273	893	2366
274	895	2359
275	898	2356
276	900	2350
277	903	2347
278	907	2345
279	910	2340
280	915	2342
281	919	2340
282	922	2337
283	924	2331
284	931	2335
285	933	2330
286	935	2324
287	939	2323
288	942	2318
289	947	2319
290	949	2313
291	953	2311
292	959	2314
293	965	2317
294	967	2312
295	969	2306
296	971	2300
297	974	2295
298	976	2289
299	979	2286
300	984	2287
301	987	2282
302	995	2288
303	997	2284
